run_time,model_name,search_type,grid_version,param_classifier__C,mean_train_score,mean_test_score,std_test_score,rank_test_score,best_params,notes
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,3,0.01,0.6098624724655948,0.5026764847944355,0.009025937726956479,16,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,3,0.1,1.0,0.528658252055412,0.013613103062005454,1,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,4,scale,0.7849198371234699,0.5061530421938802,0.01592962495958297,10,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,4,auto,0.7849198371234699,0.5061530421938802,0.01592962495958297,10,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,4,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,4,0.01,0.5899646091552709,0.5044697648845556,0.0031954235314392006,12,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,4,0.1,1.0,0.5105203748733661,0.013901390222976288,7,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_linear,grid,v1_right,1,0.7250333878067039,0.49744573648917684,0.026653070726647646,1,"{""classifier__C"": 1}",
2026-03-09 03:56:43,SVM_linear,grid,v1_right,10,0.7420122561420347,0.4964887533897284,0.002145951498786655,2,"{""classifier__C"": 1}",
2026-03-09 03:56:43,SVM_linear,grid,v1_right,100,0.7578771703471071,0.49503858335678713,0.008799179334001463,3,"{""classifier__C"": 1}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,1,scale,0.7963979670498164,0.51714551277757,0.018995886927501225,1,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,1,auto,0.7963979670498164,0.51714551277757,0.018995886927501225,1,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,1,0.1,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,1,1,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,1,10,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,10,scale,0.9804566235982562,0.5112601402570622,0.031720021515940666,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,10,auto,0.9804566235982562,0.5112601402570622,0.031720021515940666,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,10,0.1,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,10,1,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,10,10,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,100,scale,1.0,0.5037422454373597,0.02721712940259842,5,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,100,auto,1.0,0.5037422454373597,0.02721712940259842,5,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,100,0.1,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,100,1,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_rbf,grid,v1_right,100,10,1.0,0.5,0.0,7,"{""classifier__C"": 1, ""classifier__gamma"": ""scale""}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,3,scale,0.8057671239009435,0.5321794740878784,0.014681761462261241,25,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,3,auto,0.8057671239009435,0.5321794740878784,0.014681761462261241,25,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,3,0.1,1.0,0.5379727576874106,0.024357167928779348,14,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,3,1,1.0,0.5379727576874106,0.024357167928779348,14,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,3,10,1.0,0.5379727576874106,0.024357167928779348,14,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,4,scale,0.7782186551472731,0.514939516082939,0.009956626000560827,40,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,4,auto,0.7782186551472731,0.514939516082939,0.009956626000560827,40,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,4,0.1,1.0,0.5153771886728296,0.012884129098099448,37,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,4,1,1.0,0.5169348210715835,0.015028497251553051,31,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
2026-03-09 03:56:43,SVM_poly,grid,v1_right,1,4,10,1.0,0.51610148773825,0.015429024285426132,34,"{""classifier__C"": 1, ""classifier__degree"": 5, ""classifier__gamma"": 0.1}",
